,id,title,company_id,intro,category_id,level,recommendPerson,tool,activity,time,grade,thumbnail,createdAt
0,67,인형괴담,334,"친구들과 술한잔 걸치고 집으로 돌아가던 어느 날, 우연히 투신 자살을 목격하게 된다.

호기심에 끌려 투신의 현장을 기웃거리다 인기척이 들려 뒤를 돌아보니 귀여운 여자아이가 울고 있다.
아끼는 인형을 잃어버렸다며 인형을 찾아달라고 떼를 쓰는 아이..
아이가 너무 예쁘기",8,3,4,2,1,60,3.7,https://roomescape-backend-image.s3.ap-northeast-2.amazonaws.com/theme/44144d7e-3ed6-43fc-962f-ccb130100791.jpg,2021-11-25
1,68,영혼의 편지,334,"미스터M의 책상에 놓여진 의문의 편지 한통.

편지를 집는 순간 코 끝에 퍼지는 피냄새에 깜짝 놀란 미스터M은
서둘러 편지를 펼쳐보았다.

그 편지는 피에 젖은 손가락으로 쓰여진 친구 스티븐이 보낸 편지였다.

친구 나는 어제 살인을 당했다네.. 어서 빨리 나를 찾아주",1,3,2,2,1,60,2.7,https://roomescape-backend-image.s3.ap-northeast-2.amazonaws.com/theme/e65adb06-03c3-4b49-be90-7c8647a1bb3f.jpg,2021-11-25
2,69,개인병원의 비밀,334,"음침하게 소나기가 내리는 어느 날,

비를 피해서 들어간 곳은 문을 닫은지 오래돼 보이는 조그마한 병원 건물이다.

이곳에서 하룻밤을 보내기로 하고 이리저리 병원 내부를 둘러본다.

그러던 중 원장실을 발견하고 잠자리에 들기 위해 들어서는 순간,

쾅!!!!! 하는 소",1,3,2,2,2,60,2.7,https://roomescape-backend-image.s3.ap-northeast-2.amazonaws.com/theme/dfda4f53-ff56-4ac6-b432-8e9435975d78.jpg,2021-11-25
3,70,사라진 왕관,334,"어느 날, 세계에서 가장 값비싼 왕관이 박물관에서 사라졌다.

그리고 남겨진 메시지 하나.

그 누구도 찾을 수 없는 곳에 내가 있다.
나를 찾아라!!

메시지를 단서로 수많은 사람들이 왕관을 찾아 나섰고,

드디어 왕관이 있는 낡은 성 하나를 발견했다.

그러나 그 ",3,3,4,2,1,60,2.5,https://roomescape-backend-image.s3.ap-northeast-2.amazonaws.com/theme/bb454fc9-751a-437f-930c-10c1d307199a.jpg,2021-11-25
4,81,나비효과 2,337,과거로 돌아가 아버지를 구해야 한다,7,3,2,0,0,60,2.9,https://roomescape-backend-image.s3.ap-northeast-2.amazonaws.com/theme/f30ed37a-a6f1-4935-a65d-95f73dd589e3.jpg,2021-11-25
5,82,젠틀맨 뱅크,405,가난하지만 성실하게 신사저축은행의 청원경찰로 일을 하던 당신 우연히 혼수상태에 빠진 대기업 회장의 대여금고 키를 손에 넣게 된다. 은행의 경비시스템을 속속들이 알고 있는 당신 자신...,9,3,2,0,2,60,2.7,https://roomescape-backend-image.s3.ap-northeast-2.amazonaws.com/theme/771b180a-4e41-4ec3-bd99-3d174f3f9892.jpg,2021-11-25
6,83,엑소시즘 인 신사,405,평범했던 소녀의 알 수 없는 의문의 증상에 교황청으로부터 퇴마를 할 신부로 선택된 당신 지금부터 당신은 소녀를 구하기 위한 사투를 벌인다. 악령으로부터 소녀를 구할 수 있는 단 한시간 ...,1,3,2,0,0,60,2.3,https://roomescape-backend-image.s3.ap-northeast-2.amazonaws.com/theme/71c5e29d-e71b-49c3-b72a-80ba5b7f81dc.jpg,2021-11-25
7,84,신사정육점,405,"신사동 거리에서 머리 없는 여자 시체가 발견되자, 전국이 충격과 공포에 빠진다. 늘 북적이는 신사동 도심 일대에서 연쇄살인의 악몽이 시작된 상황! 베테랑 형사인 당신, 몇 년간 강남구 일...",1,3,2,0,1,60,2.6,https://roomescape-backend-image.s3.ap-northeast-2.amazonaws.com/theme/b9dc6bb4-2787-418f-9675-eb6ffd6a999b.jpg,2021-11-25
8,97,룸 401,111,"수진이의 생일인 크리스마스 이브날
모텔에서 준비해준 축하 와인과 함께 즐거운 생일파티를 하며 밤을 보낸 후 아침에 눈을 떠보니 수진이는 사라져있고.....
주변을 살펴보니 휴대폰은 사라져 있고 탁자 위 전화기도 신호가 가지 않는다.
방문은 잠겨있고 소리쳐도 아무런 대답",1,2,2,0,0,60,2.4,https://roomescape-backend-image.s3.ap-northeast-2.amazonaws.com/theme/e8355dad-d3a1-4305-975e-b63b5389ba87.jpg,2021-11-25
9,99,환생,111,"어린시절의 불우한 삶을 못 이겨 집을 나온 당신.
지금껏 당신은 특별할 것 없이 평범하게 살다 젊은 나이에 갑작스러운 심장마비로 죽음을 맞이하게 된다.
저승에서 당신은 모든 재판을 받아 여러 지옥을 무사히 통과해야 한다는 저승의 법도를 알게 된다.
재판장에 들어서자 바",3,3,2,0,0,60,2.8,https://roomescape-backend-image.s3.ap-northeast-2.amazonaws.com/theme/1bf05ca4-98f1-4b21-a7ab-83db7b54b242.jpg,2021-11-25
10,100,더 홀,111,"강원도 깊은 산골에서 캠핑을 하던중 사라진 일행을 찾기 위해 주변을 찾아다니다가 움푹 꺼진 땅굴을 발견하고 혹시나 하는 마음에 동굴로 들어간 사람들….
순간 번쩍이는 불빛에 기절하고 마는데..
불빛이 사라지고 겨우 정신을 차리고 눈을 떠 주위를 살펴보니 여기는 동굴이 ",1,2,2,0,0,60,2.4,https://roomescape-backend-image.s3.ap-northeast-2.amazonaws.com/theme/c4fae585-4d70-4c5b-b9bd-0b2f397a53e4.jpg,2021-11-25
11,101,사라진 백마교도,111,"경찰은 신흥종교 백마교에서 교도들이 실종된다는 첩보를 접하고 수사를 진행하게된다.
하지만 백마교 잠입후 며칠뒤 백마교도들에 의해 감금되고 만다.
이미 수사 정보를 접한 백마교는 건물 철거를 준비하고...
건물 폭파 철거까지 남은 시간은 한 시간...
한 시간 안에 사라",1,2,2,0,0,60,2.5,https://roomescape-backend-image.s3.ap-northeast-2.amazonaws.com/theme/49f736f6-504b-4022-a0b7-1edd4b34c29e.jpg,2021-11-25
12,102,죽음의 GP507,346,"2031년 4월 7일 시골 마을
의문의 땅굴을 발견하게 되었다는 신고를 받고 군부대에서 급히 현장에 출동한다…
하지만 부대원 중 한 명이 함정을 건드리게 되고,
들어온 입구는 막히며 폭발물이 작동하게 된다.
폭발까지 남은 시간은 60분...
땅굴을 벗어나 무사히 부대로",6,3,2,1,1,60,3.1,https://roomescape-backend-image.s3.ap-northeast-2.amazonaws.com/theme/be81e39b-9fd8-419d-8efc-8424cd8577df.jpg,2021-11-25
13,103,백설공주의 비밀,346,"왕자와 행복한 나날을 보내던 백설공주
하지만 어느날 부터 백설공주는 밤마다 성을 몰래 나가기 시작했는데…..
이유가 궁금했던 왕자의 명령에 따라 백설공주를 찾아 가보게 된다...
결국 숲 속 작은 난쟁이의 오두막집까지 다다르게 되는데…",15,3,2,1,0,60,2.5,https://roomescape-backend-image.s3.ap-northeast-2.amazonaws.com/theme/35655b03-84eb-4db0-8478-ac553381e2a9.jpg,2021-11-25
14,104,데드 얼라이브,346,"알수없는 좀비들의 습격…
좀비 바이러스에 대한 항체백신을 찾아내 인류를 구해내야만 한다.
과연 당신은 인류의 마지막 희망인 백신을 구하고, 인류의 구원자가 될 수 있을 것인가..!",1,3,2,0,0,60,2.4,https://roomescape-backend-image.s3.ap-northeast-2.amazonaws.com/theme/5df5c0e3-e6bd-4aec-bcce-c928cd643761.jpg,2021-11-25
15,105,차이나 타운의 진실,346,"집에 가는중 친구가 의문의 차량에 납치 되는것을 목격하게 된다.
다급히 그 차량을 쫓게 되지만 차이나타운에서 차량을 놓치게 된다…..
인근을 계속 찾는 중 들려오는 비명소리! 친구임을 직감하고 건물로 뛰어들게 되는데..",1,2,2,0,0,60,2.5,https://roomescape-backend-image.s3.ap-northeast-2.amazonaws.com/theme/b785f034-20db-428b-9e80-c8dabbb86c06.jpg,2021-11-25
16,114,재즈 인 더 레인,348,"비 오는 늦은 밤, 한잔의 와인과 함께 완성한 재즈곡, 지금이다. 지금 이 순간 이 감성으로 명곡을 완성할 수 있다. 당신은 이 감성과 함께 곡의 연주를 마무리하기 위해 친구들에게 악기 녹음을 요청하기 시작한다. 오늘이 지나기전 1시간... 최고의 악기 연주자들의 연주",19,3,2,1,0,60,3.1,https://roomescape-backend-image.s3.ap-northeast-2.amazonaws.com/theme/bad0b2d5-fcd0-487c-99e0-9e81c3a9d7e3.jpg,2021-11-25
17,116,프리즌 브레이크 2,348,"적의 기밀을 파악하기 위해 잠입한 스파이, 이전 감옥에서 탈출하던 도중 붙잡혀 더 보안이 강화되고, 지옥같은 고문이 계속되는 지하 감옥에 갇혀버리고 말았다,다음 고문은 1시간후. 다음 고문을 받기전에 이 곳을 탈출하라!",9,3,2,1,1,60,2.8,https://roomescape-backend-image.s3.ap-northeast-2.amazonaws.com/theme/c87d4563-520c-496b-b195-9284d87a48a3.jpg,2021-11-25
18,122,얼어붙은 물의 신전,347,"국내 최초, 온라인 게임과 방탈출카페의 특별한 콜라보!

""숨쉬는 모든 것이 얼어붙었다.
살고 싶다면, [영웅]의 자취를 따르라!""​

엘리오스를 모험하던 중 만난 갑작스러운 산사태로 인해 기절한 당신.
눈을 떠보니 알 수 없는 동굴에 갇혀있다.
뼛속까지 스며드는 한기",3,3,2,1,1,60,3.1,https://roomescape-backend-image.s3.ap-northeast-2.amazonaws.com/theme/bfb7e00f-6e1d-4ea9-8818-60135547a7b5.jpg,2021-11-25
19,124,미스터리 거울의 방,347,"""마지막 공포 테마의 퍼즐이 완성됐다“
 
친구들과 함께 등산을 하던 중 갑자기 내려진 폭우!
날씨는 어두워지고 멀리서 보이는 한줄기 빛!
그 빛 줄기를 따라가니 작은 폐허가 한 채 있다.

“그래 여기서 비를 피하자""
""그런데 이 음산한 분위기는 뭐지?""
사방이 거울",8,4,3,1,1,60,3.5,https://roomescape-backend-image.s3.ap-northeast-2.amazonaws.com/theme/a7ddab22-08a3-4be8-8999-1396cc520672.jpg,2021-11-25
20,125,저주받은 산장,347,"""우리 산장에 놀러 오세요""​ 

“풍경, 객실 뭐하나 나무랄 데 없어. 쿠폰 적용했더니 만원이야.
일단 지른다. 환불 안되니까 무조건 가는 거다.”

시작은 좋았다. ​서류 제출기한은 일주일 여유가 생겼고,
날씨도 화창 했다.
웬일인지 도로도 뻥 뚫렸다.
‘슬슬 여행",1,2,2,1,0,60,2.9,https://roomescape-backend-image.s3.ap-northeast-2.amazonaws.com/theme/311b19c9-4c76-43a1-8d05-ed72aeabbf33.jpg,2021-11-25
21,127,납치,347,"""우린 무사히 살아남을 수 있을까?“

깨어보니 철창을 사이에 두​​고 나와 여자친구가 갇혀 있다.
여자친구와 커피를 마신 것까지 기억난다.
외진 곳이었지만 꽤 분위기가 좋은 카페였고, 느긋이 커피를 마시며
다음 행선지를 상의하려 했다. 

그런데 우리가 왜 여기에……",1,2,2,0,0,60,3.2,https://roomescape-backend-image.s3.ap-northeast-2.amazonaws.com/theme/444cf960-e0ff-4004-9c4e-0880135e58c8.jpg,2021-11-25
22,129,살인사건 현장,347,"​​""사건조사에 필요한 것은 단지 사실 뿐!“

퀸즈파크주에 살인사건이 발생했다.

현장에서 발견된 ﻿﻿5개의 증거품 ,6명의 용의자
그리고 알 수 없는 ​​﻿​​﻿현장들.
​​﻿​​
당신의 모든 감각을 발휘하여 살인자를 검거해야 한다.",7,2,2,0,0,60,2.9,https://roomescape-backend-image.s3.ap-northeast-2.amazonaws.com/theme/e88a27f8-63af-4673-8868-769a01e7a06f.jpg,2021-11-25
23,130,셜록홈즈 : 살인누명,347," ""왓슨군, 보는 것과 관찰하는 것은 다른 것이라네.“

다급한 홈즈의 전화를 받고 단숨에 달려왔다.
그런데 사무실에는 아무도 없다.
무언가 수상하다.

이건 뭐지? 홈즈의 메시지인가?
이럴 수가… 홈즈가 위기에 빠진 게 분명하다.​
당황하고 있을 시간이 없다.
빨리 ",7,3,2,0,0,60,2.9,https://roomescape-backend-image.s3.ap-northeast-2.amazonaws.com/theme/5823c608-975d-4f38-b099-e693cc9da68c.jpg,2021-11-25
24,131,테러리스트,347,"​""기억하라! 폭탄 해체 기회는 단 한 번뿐이다“

브리핑 합니다.
테러리스트 본거지에서 많은 정보를 제공한 핵융합연구소 
이주혁 박사 가 현재 교신이 안됩니다.
​마지막으로 교신한 내용은 지금 쫒기고 있다는 점​과 폭탄에 관한
단서를 곳곳에 숨겨놓았다는 것.
현재 테",9,3,2,1,1,60,3.0,https://roomescape-backend-image.s3.ap-northeast-2.amazonaws.com/theme/d46266fe-6afa-4e7e-a414-843c5a5b7b1b.jpg,2021-11-25
25,133,기술자들,347,"""기술자들.. 그들이 움직이기 시작했다.""
​
어느 날 검은손 진 회장으로부터 한 통의 문자가 왔다.
​""날짜-시간-장소"" 그 외에는 아무것도 없다.
​무엇을 훔치는지..
​얼마의 대가를 받는지..​현재로서는 알 수 없다..
​
​잠입에 성공하면
​검은손 진 회장과 나",4,3,2,1,1,60,3.3,https://roomescape-backend-image.s3.ap-northeast-2.amazonaws.com/theme/d39b3a04-ff8d-4186-9fc7-f3cd6f99ba75.jpg,2021-11-25
26,134,미치광이 연쇄살인범,347,"""번듯한 연구소, 그리고 그 뒤에 숨겨진 충격적 이야기“

 “저와 친구들은 그저 많은 돈을 준다기에 임상실험 아르바이트에
지원했던 것 뿐이었어요. 그런데….”
 겨우 저만 빠져 나왔지만 다시는 기억하고 싶지 않아요. 헉헉헉….”
 
 ""무섭고 힘들겠지만 남은 친구들이",1,3,2,0,0,60,2.8,https://roomescape-backend-image.s3.ap-northeast-2.amazonaws.com/theme/b7a4e7c4-6a5a-47dc-a141-066eb448d7c6.jpg,2021-11-25
27,142,월야애담,344,"月夜愛談

돌쇠야. 나 덕유라네.
소식들었는가.
오늘 우리 아버님이 나를 불러서 말씀하시길
돌쇠 네가 모시는 최대감님댁 아씨 복녀와 정혼을 하기로 정해졌다는구나 .

너도 잘 알고 있듯 나는 우리 다람골의 최고 미인 점순이를 마음에 두고 있지않나.

그러니, 오늘 밤에",17,3,2,1,1,60,3.9,https://roomescape-backend-image.s3.ap-northeast-2.amazonaws.com/theme/2af9da15-7919-49f2-9b5c-f749eba41064.jpg,2021-11-25
28,143,살랑살랑연구소,344,"사랑만 하기에도 부족한 세상.
지금, 당신은 사랑을 하고 있나요?
세상에는 정말 많은 종류의 사랑이 있죠.
연인과의 사랑, 부모와 자식간의 사랑, 형제자매의 사랑, 친구들과의 사랑..
살랑살랑연구소는 이런 모든 사랑을 세상에 널리 퍼트려서 서로가 사랑하는 세상을 만들고",2,3,2,1,1,60,3.8,https://roomescape-backend-image.s3.ap-northeast-2.amazonaws.com/theme/41287a8f-bc9e-4676-9127-2035390231fc.jpg,2021-11-25
29,144,그카지말라캤자나,344,"김모씨(전직 프로악플러)

한때, 제 아이디만 봐도 모르는 사람이 없을 정도로 여기저기 악플을 달
고 다녔어요.
그런데 그날...다시는 생각하고 싶지 않지만 아직도 생생하게 기억나
요...
신나게 악플을 달며 어그로를 끌고 있는데 뜬금없이 이상한 댓글이 달렸
더라구요.",11,3,2,2,2,60,4.2,https://roomescape-backend-image.s3.ap-northeast-2.amazonaws.com/theme/226fbc42-00e8-4d2e-9eca-8e9530d3b615.jpg,2021-11-25
30,150,이자카야 츠이오쿠,83,"매일 반복되는 쳇바퀴 같은 삶.
매일 반복되며 마주치는 수많은 사람들.
그리고 그 속에서 지쳐가는 당신.

여기 당신의 지친 마음을 위로해 줄,
단 하나의 이자카야가 있습니다.

추억의 음식을 만들어 드립니다.
당신의 추억을 요리해드립니다.

지친 당신을 위한,
세상 ",2,2,2,1,2,60,3.6,https://roomescape-backend-image.s3.ap-northeast-2.amazonaws.com/theme/a383e2ca-1598-4d14-9299-2cb4a62903d4.jpg,2021-11-25
31,151,히로인,83,"너무나도 사랑스럽고 아름다운 그녀.
그런 그녀를 미치도록 사랑했던 한 남자.

그녀를 향한 사랑이 잘못된 방향으로 표출되고 마는데..

현실을 받아들이지 못한 채,
이상한 행동들을 하는 그 남자.

도대체 그에게는 어떤 일이 있었던 걸까?

＂내 마음 속 단 한 명의 ",1,3,2,0,1,60,3.6,https://roomescape-backend-image.s3.ap-northeast-2.amazonaws.com/theme/3ea1e4c4-8424-4e8a-a064-012efed483e3.png,2021-11-25
32,152,메르헨 수호대,83,"아기자기하고 사랑스러운 동화들로 이루어진 메르헨 월드.

하지만 갑작스럽게 메르헨 월드에 검은 그림자가 들이닥치고..

누군가가 메르헨 월드를 뒤죽박죽으로 만들고 있다!

메르헨 수호대의 수호대원인 여러분!
어지럽혀진 메르헨 월드를 원래대로 되돌려 놓아야만 한다!

메",18,4,2,0,2,70,3.8,https://roomescape-backend-image.s3.ap-northeast-2.amazonaws.com/theme/2cb7cb05-ec8d-467b-8464-19e6e17cc8eb.png,2021-11-25
33,153,도시괴담 Part.1 ‘The Day of Horror’,83,"어느 날 우연히 보게 된 신문기사.

음력 1월 16일 ‘귀신날’..

이 날 자정이 가까운 시각에 돌아다니게 되면,
귀신에 홀리게 된다고 하는데..

미신이나 무속신앙이라고 우습게 넘겼지만,
그래도 왠지 꺼림칙한 느낌을 떨쳐낼 수가 없다.

음력 1월 16일 자정..",8,3,2,1,1,60,3.5,https://roomescape-backend-image.s3.ap-northeast-2.amazonaws.com/theme/5a0109d7-8600-40ec-b796-c081d205c166.png,2021-11-25
34,154,토끼와 거북이,83,"육상계의 슈퍼스타 마라토너 [산토끼]와,
정체불명의 [거북이]가 펼치는

자존심을 건 마라톤 대결

하지만, 이 대결 속에는
뭔가 심상치 않은 어두운 계획이 숨겨져 있었다

과연 우리의 슈퍼스타 [산토끼]는
이 계획을 파헤치고 무사히 돌아올 수 있을 것인가",11,2,2,1,2,60,3.3,https://roomescape-backend-image.s3.ap-northeast-2.amazonaws.com/theme/9b137041-fff4-4a2c-8839-417d54eb86d3.png,2021-11-25
35,160,락커룸,359,"결승전 마지막 원정 경기를 앞두고 훈련이 끝난 후
락커룸에서 준비를 하다가 깜빡 잠이 들어버렸다.

락커룸은 이용 시간이 끝나면 모든 문이 모두 잠겨버리는데...

한 시간 안에 탈출하지 못한다면
원정경기장으로 떠나는 비행기를 타지 못할 것이며,
마지막 경기에도 출전하",7,3,2,0,0,60,2.9,https://roomescape-backend-image.s3.ap-northeast-2.amazonaws.com/theme/b176c968-090b-498a-a1a9-96eb96baa939.jpg,2021-11-25
36,161,몬테,359,"1845년, 장차 선장이 될 예정이었던
나는 사랑하는 약혼자와의 결혼을 목전에 두었으나

나의 약혼자를 마음에 두고 있었던 악당에 의해
살인 누명을 뒤집어쓰고 이 어둡고 컴컴한 지하 감옥에 투옥된다.

그렇게 투옥된 지 벌써 6년......

모든 것을 포기하고 남아 ",9,4,2,0,1,60,2.9,https://roomescape-backend-image.s3.ap-northeast-2.amazonaws.com/theme/f09f5d88-f757-444f-aa9c-5933781e9433.jpg,2021-11-25
37,162,남영동 1984,359,"국민들의 일거수일투족을 감시하고 검열하는 군부 독재가
온 나라를 지배하고 있던 1984년 어느 날,
민주화운동을 하고 있던 우리들은 경찰에 연행되고 만다.

처음부터 이 정도 일들은 각오해왔고,
한두 번 연행된 것도 아니었기에 별일 아닐 것이라 생각했다.

하지만 정체",10,3,3,0,0,60,2.8,https://roomescape-backend-image.s3.ap-northeast-2.amazonaws.com/theme/9545942b-5b75-4301-a371-c968a5334f4e.jpg,2021-11-25
38,163,(나쁜) 아기돼지 삼형제,359,"옛날, 옛날에 아기 돼지 삼형제가 살았습니다.

삼형제는 자신 만의 집을 지었고,
그 집을 이용해 자신들을 잡으러 온 나쁜 늑대를 잡아버렸어요.

그 뒤로 몇 년 후,
의기양양해진 삼형제들은 점점 사악해져만 갔고,
하나둘 동네에 사는 늑대들을 괴롭혀서 쫓아내기 시작했어",11,3,3,0,0,60,3.0,https://roomescape-backend-image.s3.ap-northeast-2.amazonaws.com/theme/1925b728-db00-4969-a2d9-376bcea00c46.jpg,2021-11-25
39,168,몬스터 : 10800,82,"""내 안에 몬스터가 깨어나고 있어""

순간의 잘못된 선택이 커다란 악마를 만들어 냈다.
1분 1초, 급박함과 긴장감 속에 서서히 닥쳐오는 재앙.
내 손으로 만든 이 괴물은 내 손으로 직접 처리하겠어.
끝을 모를 어둠 속에서, 점점 커져만 가는 몬스터를 막을 수 있을 것",3,4,4,0,2,70,3.9,https://roomescape-backend-image.s3.ap-northeast-2.amazonaws.com/theme/7673aa96-d31c-49ad-b073-bc01b6c6dd89.jpg,2021-11-25
40,169,이불 밖은 위험해,82,"느지막한 주말 오후 이불속 당신!
평소와는 다른 분위기에 이불 밖으로 나와보는데...",2,2,2,0,0,60,3.6,https://roomescape-backend-image.s3.ap-northeast-2.amazonaws.com/theme/a502e023-a6db-455a-8590-9c08b7c864ab.jpg,2021-11-25
41,170,B아파트 13동 1313호,82,"미스테리 동호회 ""블랙홀""의 특별회원인 당신
오늘밤 ""블랙홀""의 첫 전국 정모가 열린다
모임 장소는 일가족이 살해 했다는 저주받은 아파트
일가족이 살해 당한 후 이사오는 사람마다 하루도 버티지 못하고 도망나온다는 저주받은 B아파트 13동 1313호아파트
당신은 이곳에서",8,3,2,1,0,60,3.4,https://roomescape-backend-image.s3.ap-northeast-2.amazonaws.com/theme/973ece46-0502-4565-bf4d-c7a1224c98ce.jpg,2021-11-25
42,171,다시 봄,82,이건 아주 진부한 이야기입니다.,2,4,3,0,2,80,3.8,https://roomescape-backend-image.s3.ap-northeast-2.amazonaws.com/theme/0c91e689-5aae-40c4-a5b0-7ba3ce3b951c.jpg,2021-11-25
43,172,썸,82,"친구라기엔 너무 가깝고, 연인이라기엔 조금은 먼 우리. 우리는.. 어떤 사이일까?",17,3,2,1,0,60,3.3,https://roomescape-backend-image.s3.ap-northeast-2.amazonaws.com/theme/c8de107b-e00c-44ad-88bd-53eca4def974.jpg,2021-11-25
44,183,루시드 드림,116,"현실과 구분이 되지 않는 꿈. 그 안에서 당신은 처음보는 소녀의 부름에 낯선 방에 이르게 된다. 자신을 J라 소개하는 그녀 J는 자신의 이야기를 들어달라 해놓고는 홀연히 사려져버린다. ""J...? 4년 전 연쇄실종사건의 마지막 실종자...J? 단순한 꿈이 아님을 직감적",8,3,2,0,0,60,3.8,https://roomescape-backend-image.s3.ap-northeast-2.amazonaws.com/theme/67a80e84-cb9a-4be1-a9eb-c30e2a5572c3.png,2021-11-25
45,184,콜드 케이스,116,"전대미문의 연쇄실종 사건 그리고 유력용의자로 누명을 쓰게 된 K 세상은 K를 범인이라 하지만, 당사자 K는 아직 풀리지 않은 미제사건이라 말한다. 꿈 속에서 알게 된 지하수로로 다시 돌아가게 된 당신은, 그 곳에서 과거의 흔적을 되짚어 보게 되는데... ‘도대체 여기에",6,3,4,0,2,60,3.5,https://roomescape-backend-image.s3.ap-northeast-2.amazonaws.com/theme/988b8663-c756-4777-b02c-eb277b6a5e7f.jpeg,2021-11-25
46,185,더 케이지,116,"그의 흔적을 따라 도착한 이 곳. 처음 와보는 곳 이지만, 어딘가 낯설지 않다... 이 곳에서 지독하게 K를 괴롭혀왔던 연쇄실종사건의 진상을 확인하고 이야기의 마침표를 찍어야한다.",12,3,2,0,1,60,3.6,https://roomescape-backend-image.s3.ap-northeast-2.amazonaws.com/theme/8aedc9ef-6539-409f-8be4-c0ef810902b9.jpeg,2021-11-25
47,187,이도공간,410,"꿈인가, 현실인가?
더욱 깊은 곳으로 이끄는 소리가 들리면
나는 새가 되어 꿈속을 배회한다.
모든것이 낯설고, 모든것이 익숙하다.
나는 누구인가? 나를 부르는 당신은 누구인가?",3,2,2,1,1,60,3.0,https://roomescape-backend-image.s3.ap-northeast-2.amazonaws.com/theme/7c80b8bd-4be4-4e31-b900-f6602de0af4f.jpeg,2021-11-25
48,191,숨바꼭질,410,딸이 사라졌어요 어린 딸이 사라졌다는 제보. 딸을 잃은 엄마는 세상을 잃은 슬픔에 빠진다. 모녀의 집은 최근 연이은 강도사건으로 떠들썩한 동네. 그러던 중 범인으로 추정되는 자의 침입 흔...,1,4,2,1,1,60,3.4,https://roomescape-backend-image.s3.ap-northeast-2.amazonaws.com/theme/3222cd7c-bc88-4091-bf1f-46aa106a09d2.jpg,2021-11-25
49,217,쇼퍼홀릭,356,세계적으로 25개만 생산하는 가방을 갖고싶은 당신... 하지만 신용카드는 이미 한도초과... 특수장비로 설계된 가방의 보안을 뚫고 가방을 손에쥘 수 있을지…,9,4,2,1,0,60,2.5,https://roomescape-backend-image.s3.ap-northeast-2.amazonaws.com/theme/ba7e5a0b-db25-4c35-a92e-64f67da76492.jpg,2021-11-25
50,218,조커의 방,356,어느날 조커의 초대를 받고 조커의 방에 찾아간 당신... 조커가 미리 준비해놓은 함정에 빠져버렸다... 과연 살아서 돌아올 수 있을까?,9,3,2,0,0,60,2.6,https://roomescape-backend-image.s3.ap-northeast-2.amazonaws.com/theme/25d34cc5-43eb-4da2-86f0-2b2c4d659efe.jpg,2021-11-25
51,219,블러드 트레인,356,"부다페스트로 향하는 야간열차 안에 들어선 당신, 우연의 일치인지 그 곳에서 예기치 못한 사건 속에 빠져 들게 되는데... 살인범의 기차탈선 작전을 저지하라.",1,4,2,0,0,60,2.5,https://roomescape-backend-image.s3.ap-northeast-2.amazonaws.com/theme/c94bb610-381d-440d-8207-c7c358ed9927.jpg,2021-11-25
52,223,청림맨션,412,"1984년, 홍콩의 오래된 맨션. 젊은 부부와 홀어머니가 이사왔다. 그로부터 3주 뒤, 부부 중 아내의 모습이 보이지 않는다. 그들의 집 앞에서 풍기는 정체모를 냄새와 남편의 의심스러운 변명. 아...",6,2,2,1,0,60,3.4,https://roomescape-backend-image.s3.ap-northeast-2.amazonaws.com/theme/dde61911-084c-47f3-bb13-c3e174f22f48.jpg,2021-11-25
53,235,산속의 여인,399,"나무를 하는 와중, 갑자기 쏟아지는 비를 피하려 무작정 산 속을 달리다가 발견한 외딴 집.문을 두드리니 한 여인이 나를 안으로 들여보내 주었고, 마을에서 수상한 미인으로 소문만이 자자하...",1,3,2,0,0,60,1.9,https://roomescape-backend-image.s3.ap-northeast-2.amazonaws.com/theme/5b830706-6638-4833-9229-d4305cec0447.jpg,2021-11-25
54,236,학교괴담 태훈이의 죽음,399,데베스프레소 게임즈의 ‘더코마:커팅클래스’를 테마로 하여 세계 최초로 선보이는 온오프라인 결합 리얼 방탈출 게임 세화고등학교의 숨은 비밀을 밝혀라.,1,3,2,0,0,60,2.0,https://roomescape-backend-image.s3.ap-northeast-2.amazonaws.com/theme/3a693c9c-166e-49e4-a88a-d16abe4e6800.jpg,2021-11-25
55,239,집착,141,"""후문에서 의문의 남자와 함께 있는 모습이 찍힌 CCTV영상. 실종 후 몸값을 요구하는 연락도 없었고, 핸드폰 위치 추적도 소용 없었다. 할 수 있는 일은 혼자 미친듯이 돌아다니며 실종 전단지...",1,3,2,0,0,60,2.6,https://roomescape-backend-image.s3.ap-northeast-2.amazonaws.com/theme/43c5f11c-fa2c-418e-a050-910956fd0845.jpg,2021-11-25
56,243,소서러,334,"4천년전 인간과 정령이 공존하던 마법시대의 이야기…

어느날 당신이 마법사의 집으로 초대된다면?
4천년전 60년간 계속 이어온 선과 악의 마법전쟁…
그 결과가 당신의 손에 달렸다면 당신은 무엇을 선택하시겠습니까?
4천년전의 대 마법사 '레베카'의 집으로 당신을 초대합니",3,3,4,2,0,60,2.8,https://roomescape-backend-image.s3.ap-northeast-2.amazonaws.com/theme/358fc96b-8962-437e-b981-70b51b7ed754.jpg,2021-11-25
